,Sample,Max_Wavelength,Max_Value,FWHM
0,15min,400.20300000000003,933.2810000000001,9.600000000000023
1,15min 50C,400.20300000000003,562.651,9.581999999999994
2,15min 75C,398.88300000000004,293.564,9.353999999999985
3,15min 100C,401.425,83.2121,9.187999999999988
