,Sample,Max_Wavelength,Max_Value,FWHM
0,1min 50C,761.584,51.9646,3.463999999999942
1,1min 75C,754.779,803.4739999999999,41.93399999999997
2,1min 100C,756.585,45.2932,5.581999999999994
