,Sample,Max_Wavelength,Max_Value,FWHM
0,10min,400.833,393.73,9.375
1,20min,400.337,599.683,11.168999999999983
2,40min,401.024,2103.43,10.579999999999984
3,60min,401.958,391.676,10.165999999999997
4,80min,401.48199999999997,2251.23,10.27800000000002
5,100min,402.224,2281.68,9.738
6,120min,401.52,2083.22,10.296999999999969
