,Sample,Max_Wavelength,Max_Value,FWHM
0,5min 50C,522.933,4183.48,23.533999999999992
1,5min 75C,463.652,6352.36,-123.58200000000005
2,5min 100C,525.036,9466.96,19.005999999999972
